Price,Close,High,Low,Open,Volume
Ticker,BYDDY,BYDDY,BYDDY,BYDDY,BYDDY
Date,,,,,
2020-01-02,9.867265701293945,10.053071084289458,9.789031757651395,9.789031757651395,46300
2020-01-03,9.769472122192383,9.857485535790493,9.759692646765458,9.759692646765458,121100
2020-01-06,9.681459426879883,9.710797855337333,9.661901407197094,9.710797855337333,53900
2020-01-07,9.603225708007812,9.701018606580591,9.593447164248294,9.701018606580591,42400
2020-01-08,9.652120590209961,9.681458081969783,9.436976807853151,9.436976807853151,56100
2020-01-09,9.661900520324707,9.759692475006615,9.603224601417889,9.759692475006615,32500
2020-01-10,9.671679496765137,9.720575005273272,9.632562530385403,9.632562530385403,29200
2020-01-13,11.148346900939941,11.148346900939941,10.874528106221785,10.913645076895808,212000
2020-01-14,11.226580619812012,11.392827975037635,11.197243125543409,11.392827975037635,110600
2020-01-15,11.412385940551758,11.686204706192543,11.343931482297073,11.686204706192543,56100
2020-01-16,11.363490104675293,11.373269579981867,11.011437387237459,11.011437387237459,80800
2020-01-17,12.048038482666016,12.057817958752727,11.881791119680603,11.881791119680603,119300
2020-01-21,11.431944847106934,11.588413657985452,11.255918950379545,11.255918950379545,89700
2020-01-22,11.754659652709961,12.028478407999623,11.754659652709961,12.028478407999623,106000
2020-01-23,11.656868934631348,11.656868934631348,11.412387624647673,11.412387624647673,30400
2020-01-24,11.44172477722168,11.754661478789254,11.412387282038585,11.754661478789254,71200
2020-01-27,10.86474895477295,10.942982898456727,10.600709627995744,10.82563198293106,157100
2020-01-28,10.972320556640625,11.001658050307254,10.806073204826212,10.982099099448096,77200
2020-01-29,10.737617492675781,10.815852361182335,10.669163031932387,10.669163031932387,65600
2020-01-30,10.512696266174316,10.532255218514218,10.268214957658635,10.532255218514218,66100
2020-01-31,10.17042064666748,10.444240345609256,10.121525137862637,10.444240345609256,89700
2020-02-03,10.366006851196289,10.620266678659949,10.317110407699477,10.620266678659949,126900
2020-02-04,11.343931198120117,11.353709740038648,11.01143652471747,11.01143652471747,204100
2020-02-05,11.60797119140625,11.979582853048106,11.59819171626834,11.842672998983607,226700
2020-02-06,11.568854331970215,11.637308793333395,11.48084092014779,11.51995788844419,103800
2020-02-07,11.226580619812012,11.392827975037635,11.197243125543409,11.295036016601586,77000
2020-02-10,11.431944847106934,11.559075231345787,11.28525644439709,11.559075231345787,75900
2020-02-11,11.353711128234863,11.422166525766627,11.324373633648186,11.422166525766627,49700
2020-02-12,11.51017951965332,11.519958062408522,11.353710711482771,11.353710711482771,56100
2020-02-13,11.324372291564941,11.383048206406585,11.177683903393874,11.177683903393874,84000
2020-02-14,11.079893112182617,11.19724403137255,11.030996662697927,11.070113635761238,116000
2020-02-18,11.402606964111328,11.412386439324274,11.10922923607754,11.10922923607754,179100
2020-02-19,12.087154388427734,12.087154388427734,11.979582958827116,11.979582958827116,142900
2020-02-20,13.153093338012695,13.33889964241209,12.957508490715005,13.33889964241209,316500
2020-02-21,13.113975524902344,13.270443392674576,13.113975524902344,13.162871966736681,148600
2020-02-24,11.979583740234375,12.145831099402502,11.431945216041344,11.431945216041344,220400
2020-02-25,12.53700065612793,12.85971589470124,12.517442637262164,12.664131042932892,278900
2020-02-26,12.937950134277344,13.055301980671338,12.810820677157809,12.820599220505509,289000
2020-02-27,12.341415405273438,12.468545787967365,12.106713590741006,12.17516805349077,197300
2020-02-28,11.901349067687988,11.901349067687988,11.392827545551103,11.392827545551103,183100
2020-03-02,12.224064826965332,12.224064826965332,11.979583530426025,12.126271935300757,164900
2020-03-03,12.439208984375,12.585897393439824,12.184948204881954,12.184948204881954,179300
2020-03-04,12.321856498718262,12.468544889070271,12.22406361673556,12.468544889070271,132500
2020-03-05,12.165388107299805,12.292518485074176,12.08715417214974,12.292518485074176,76800
